ts	phase	decision	why	evidence	result
2026-07-23T08:18:00Z	frame	Kept the task at xhigh and required a written second-pass review before schema edits	The parsed-module representation is shared by every native target, macro rewrite, and future server identity	bd show haxe_ocaml-vb3t5; root AGENTS.md	design review in progress
2026-07-23T08:24:00Z	design	Selected one ordered closed module-directive model instead of path strings plus alias side tables	Normal, alias, wildcard, and using declarations have different Haxe behavior and must survive every module copy	vendor/haxe public AST and grammar; HxParser; HxHxNativeParser; production consumer inventory	bounded hard-cut migration approved in written review
2026-07-23T09:28:20Z	implementation	Hard-cut parsed modules, native protocol, typer environments, dependency collection, macro rewrites, and target projection to typed directives	Keeping the old string list would let alias meaning disappear at copy and cache boundaries	HxModuleDirectiveKind; HxModuleDirective; HxModuleDirectiveProtocol; protocol v3 producer and decoder; no getImports string-model references	one shared normal/alias/wildcard/using model owns module directives
2026-07-23T09:28:20Z	verification	Required parser, native-parser, macro-host, inheritance, dependency-edit, typed-body, and cross-target checks before broad gates	An alias is correct only if its provider identity survives parsing, loading, typing, caching, macro processing, and target generation	focused M14 tests; source and bootstrap parser smoke; Python/PHP/Lua runtime; Java/C# generated source	focused behavior passed before bootstrap regeneration
2026-07-23T09:28:20Z	tooling	Kept the alias change separate from the bootstrap timeout policy defect	The healthy stage0 emitter crossed the default 900-second cutoff and completed in 901 seconds under a bounded 1800-second override	first run killed at 900 seconds with empty error log; successful report total 929 seconds; haxe_ocaml-xm503	follow-up bug owns progress-aware timeout design
2026-07-23T09:28:20Z	regression	Classified bare current-class fields before rewriting nominal names as aliased type references	A value named root with type TreeNode was incorrectly projected as the TreeNode type, producing an unbound generated variable	full no-stage0 target suite BalancedTree failure; focused nominal-field typed-body regression	selected field identity now travels on bare typed reads; alias and dependency tests remain green
2026-07-23T10:12:00Z	review	Kept the xhigh slice open after the independent second pass found five plausible stale or invalid-output paths	Broad green tests had not exercised downstream public-revision propagation, wildcard demand loading, malformed v3 records, target static/using classification, or aliased class headers	read-only cross-model review of current source and tests	closure blockers converted into focused regressions before another bootstrap run
2026-07-23T10:48:00Z	implementation	Separated local directive spelling from exported API and retained resolved class-header types	Changing only an alias must not retype API consumers, while extends/implements aliases must not reach targets as nonexistent class names	CompilerTypedModuleRevision; TypedClass; TyperStage; TypedBodySource; dependency edit and cross-target fixtures	alias-only invalidation stays local and target projection receives provider parent/interface identities
2026-07-23T10:48:00Z	implementation	Made directive boundaries strict and completed wildcard/static/using consumers	A closed directive model is useful only if malformed records fail, callers cannot mutate retained input, wildcards can load types, and targets do not treat every directive as an ordinary import	protocol malformed-record tests; package/module wildcard loader tests; Java/C# header and support-file classification; source-target family test	focused parser, loader, dependency, target-generation, and runtime checks pass
2026-07-23T11:09:49Z	implementation	Made shared typing the sole owner of import meaning for targets and dependency records	A target cannot safely decide whether model.Api.PI is a type or a static field from capitalization, and trimming path segments can attach a dependency to the wrong provider	TyModuleDirective; TyperContext; EmitterStage; SourceTargetCommon; CompilerDependencyCollector; upstream Haxe 4.3.7 importHandling.ml	Java/C#/OCaml projection and dependency observation consume exact typed providers and static-member kinds
2026-07-23T11:09:49Z	testing	Replaced the Java support fixture's capitalization guess with explicit synthetic type facts	The fixture intentionally omits external libraries, so it must state fabricated provider facts just as production typing would instead of making the backend act as a second typer	M14SourceNativeBackendSmokeIntegrationTest; resolved-directive sequence assertions in M14ModuleImportAliasTargetIntegrationTest	source-target group and alias runtime/shape tests pass
2026-07-23T11:09:49Z	verification	Passed the complete focused import lifecycle matrix before bootstrap regeneration	The change crosses parsing, native protocol, lazy loading, shared typing, typed bodies, dependency identities, macro-host generation, and five builtin targets	module-import-alias-targets; hih-expr-text-parser; native-parser-module-directives; inheritance-module-loading; compiler-dependency observation/edit; typed-body-boundary; source-native target group; macro-host-runtime-api; guard:hx-format	all focused commands exited zero and formatting is clean
2026-07-23T11:09:49Z	documentation	Explained parsed spelling versus resolved import meaning with a concrete Haxe-to-Java example	Users and maintainers need to know why the bridge preserves source form while type checking later distinguishes types, static members, packages, and using providers	docs/02-user-guide/HXHX_NATIVE_FRONTEND_PROTOCOL.md	protocol v3, hard cutover, validation, current identifier subset, and target ownership are newcomer-readable
2026-07-23T11:16:15Z	architecture	Kept the existing modern-compiler north star instead of duplicating it in project instructions	Upstream Haxe defines required behavior, but hxhx should use clearer ownership, immutable revision facts, focused modules, stronger validation, and measured native tooling performance when that improves the implementation	AGENTS.md compatibility-floor section; docs/00-project/NORTH_STAR_GOALS.md	no documentation edit needed because the requested principle was already durable and explicit
2026-07-23T11:42:51Z	review	Kept the xhigh slice open when the final oracle comparison found three remaining import rules	Plain module imports, type wildcards, declaration-order using providers, and colliding local imports have different Haxe 4.3.7 behavior that broad target tests had not isolated	independent source review; upstream Haxe 4.3.7 importHandling.ml; generated Java header inspection	added focused behavior fixtures instead of accepting plausible but incomplete compatibility
2026-07-23T11:42:51Z	implementation	Preserved module declaration order, excluded noImportGlobal members from wildcard lookup, and filtered generated Java imports to the winning local binding	Extension-provider order can decide which equal-name method Haxe tries; noImportGlobal deliberately withholds wildcard members; Java rejects two same-short-name imports even though Haxe resolves the later one	TyperIndex; TyFieldInfo; TyDeclarationInfo; TyImportedStaticMethod; TyperContext; TyperStage; SourceTargetCommon	shared typing and Java output now follow the same explicit Haxe import selection
2026-07-23T11:42:51Z	verification	Passed focused import, inheritance, macro-alias, dependency-edit, parser, native-parser, typed-body, dependency-observation, and source-target checks after the final repairs	The last changes affect both source meaning and target spelling, so a single parser or runtime test would not prove the lifecycle	module-import-alias-targets; inheritance-module-loading; macro-runtime-mode-switch; compiler-dependency-edit-sequence; hih-expr-text-parser; native-parser-module-directives; typed-body-boundary; compiler-dependency-observation; source-native targets	all listed focused commands exited zero; macro-host API remained attached and in progress at this checkpoint
2026-07-23T17:55:44Z	regression	Preserved an untyped cast before the native fallback parser reads its inner field access	The compiled bootstrap joined cast and haxe into a fake casthaxe identifier, so JS emitted a correct-looking field read without recording its haxe.SysTools initialization dependency	ParserStageNativeDecode; ParserStage inline A/B path; M14JsTargetCoreSysToolsIntegrationTest; regenerated bootstrap; linked JS runtime lane	haxe.SysTools now initializes before StringTools and the compiled native JS program runs
2026-07-23T17:55:44Z	regression	Replaced an inflated method-count threshold with checks for the real resolved and typed module graph	The old resolver parsed Math.hx three extra times under fake static-field module names, making 167 look healthier than the correct 95 methods	old committed bootstrap comparison; HXHX_TRACE_RESOLVER_DEPS; scripts/test-hxhx-targets.sh	exact six resolved and eleven typed modules pass without Math.NEGATIVE_INFINITY, Math.NaN, or Math.POSITIVE_INFINITY pseudo-modules
2026-07-23T17:55:44Z	verification	Completed the native bootstrap, full target lane, compiler shard, and repository guard bundle	The shared directive schema reaches every parser, typer, server, macro, plugin, and target path, so closure needs broad executable evidence	regenerate-hxhx-bootstrap --full --force; test:hxhx-targets; compiler shard 109/109; ci:guards	all commands exited zero; temporary 1.1 GB comparison builds removed; README progress bars unchanged
2026-07-23T18:25:00Z	review	Accepted the independent review's private-static-import finding and strengthened two weak gates	The initial implementation distinguished explicit imports from noImportGlobal wildcard filtering, but it did not independently require imported fields and methods to be public; a plausible private member could therefore become a bare name in another module	GPT-5.6 Sol second-pass review; focused failing private-field/private-method fixture; TyFieldInfo and TyDeclarationInfo visibility facts	exact and wildcard static lookup now require public visibility, Java/C# alias fixtures compile when their toolchains are installed, and the full-graph method count is exact rather than ranged
