timestamp	decision	why	evidence	result
2026-08-10T16:40:00Z	Use thinking:xhigh for Array indexed searches	Optional values, negative starts, object identity, and receiver evaluation can produce plausible but incorrect target output.	haxe_ocaml-0uwin.31.15 acceptance and requirements-only hard-cut criteria	xhigh was applied with a required written second pass.
2026-08-10T16:43:00Z	Record the expected-red closed-operation failure	The focused fixture named the search operations before the closed model supported them.	npm run test:reflaxe-ocaml:call-plan failed on missing IndexOf and LastIndexOf fields	The lowest faithful plan contract was sensitive to the intended missing operations.
2026-08-10T16:46:00Z	Measure the final Haxe 4.3.7 call shapes	Omitted start, explicit null, and an explicit integer do not have the same typed argument list.	Temporary typed-AST probe: one argument when omitted; two arguments with Null<Int> or Int when supplied	The plan uses separate omitted-start operations and a Null<Int> supplied parameter.
2026-08-10T16:50:00Z	Seal four exact search call forms before syntax	The runtime must know both the source search and whether the optional start was omitted.	OcamlStandardArrayCallModel and CallPlanFixture corruption coverage	indexOf, indexOfDefault, lastIndexOf, and lastIndexOfDefault now fix types, results, schedules, runtime symbols, and owner-bound occurrences.
2026-08-10T16:54:00Z	Use small runtime default wrappers	Computing lastIndexOf's default in late syntax evaluated a side-effecting receiver twice.	Removed OcamlBuilder branch and HxArray indexOf_default/lastIndexOf_default entries	Generated syntax passes one already-evaluated receiver; runtime storage code computes the omitted default.
2026-08-10T16:58:00Z	Fix the optional Int carrier at the native runtime boundary	Explicit null is a checked Haxe sentinel, not an OCaml int.	The first generated OCaml tracer failed with HxRuntime.hx_null where int was expected	HxArray unwraps the polymorphic carrier immediately to one concrete int; the generated program now builds and runs.
2026-08-10T17:01:00Z	Follow observed Haxe 4.3.7 negative-start behavior	The existing OCaml runtime returned -1 for an excessively negative lastIndexOf start, but the installed compatibility oracle returned index 0.	Temporary Haxe 4.3.7 behavior probe and shared Array tracer	The runtime clamps the derived start to zero and the real cross-target comparison passes.
2026-08-10T17:04:00Z	Remove the two late source-method branches	Call selection now belongs to the Haxe-authored sealed plan rather than printer field-name matching.	Private runtime inventory regenerated under haxe_ocaml-0uwin.31.15	Inventory falls from 341 to 338: indexOf, lastIndexOf, and the duplicated receiver-length reference disappear.
2026-08-10T17:07:00Z	Hard-cut plan and report identities	Old consumers must not interpret the expanded call model as the previous schema.	ocaml-function-plans-v91, typed call boundary v25, standard Array proof v5, lowering schema 76	Stale reports and cached plans fail instead of silently omitting the new call forms.
2026-08-10T17:10:00Z	Regenerate only affected deterministic reports through the repository updater	Revision-derived identities reorder stable arrays after a plan-version hard cut.	Six-fixture update followed by ordinary PORTABLE_JOBS=2 comparison	All six fixtures compile, build, run, and compare without hand-edited generated output.
2026-08-10T17:13:00Z	Accept focused and vertical closure evidence	The claim crosses typing, planning, syntax authorization, runtime packaging, native build/run, inspection, and ownership inventory.	call plan; Array tracer; inspection; runtime requirements; runtime-use authority; runtime manifest; ownership; inventory; formatter; no-Dynamic; mega-file; portable reports; diff check	All required target-backend evidence passes; README and runtime-selection readiness remain unchanged.
2026-08-10T17:15:00Z	Pass the required xhigh second review	The review challenged omitted/null/integer starts, object identity, range behavior, evaluation order, optional-carrier safety, ownership, corruption sensitivity, and claim scope.	.audit/haxe_ocaml-0uwin.31.15-second-pass.md	The slice can close; 338 private-reference inventory entries remain open.
