ts	phase	decision	why	evidence	result
2026-07-20T03:55:00Z	review	accepted the Oracle's marker-loss diagnosis and B+C+D lifecycle boundary	local source inspection independently confirmed that Reflaxe removes the owned marker after Haxe has finished its body-changing filters	docs/00-project/ORACLE_CHECKPOINT_FEATURE_GATED_TYPED_BODY_LIFECYCLE_2026_07_19.md	design accepted; hosted-macOS trigger remains open
2026-07-20T04:02:00Z	repair	split early semantic protection from final origin assignment	updates need protection before generic rewrites, while final origins must describe the exact tree sent to the target builder	packages/reflaxe.ocaml/src/reflaxe/ocaml/preprocessor/PreservePlaceAssignmentsImpl.hx; packages/reflaxe.ocaml/src/reflaxe/ocaml/preprocessor/FinalizePlaceAssignmentsImpl.hx	focused exact-Reflaxe lifecycle test passes
2026-07-20T04:08:00Z	dependencies	kept the exact Reflaxe pin and its newly exposed name collision out of the lifecycle-fix commit	pinning reveals an independent generated-OCaml local/function shadowing failure, so combining the changes would obscure both review and regression evidence	haxe_ocaml-7201t.2	follow-up bead open
2026-07-20T04:18:00Z	verification	accepted the target-side lifecycle repair as a bounded green slice	the standalone update and existing place fixtures compile and run with both the reviewed Reflaxe source and the older local framework cache	scripts/reflaxe-ocaml/test-preprocessor-lifecycle.sh; scripts/test-portable.sh	focused tests green
2026-07-20T04:45:00Z	fork	adopted fullofcaffeine/reflaxe as a maintained integration fork with fork-local PRs	project control and review speed are useful, but every framework change must remain target-neutral, fully explained, synchronized with upstream, and independently tested	fullofcaffeine/reflaxe#1; fullofcaffeine/reflaxe#2; docs/00-project/REFLAXE_INTEGRATION_FORK_POLICY.md	fork main is 8f90cf469fab865fe88df0e01926c1190bf0a5e9; upstream PR 52 retired
2026-07-20T04:46:00Z	ci	rejected absent fork workflow runs as passing evidence	GitHub reports Actions and workflows enabled but scheduled no run for fork PRs or their main pushes	fullofcaffeine/reflaxe#1; fullofcaffeine/reflaxe#2; haxe_ocaml-7201t.3	fork CI restoration remains open
2026-07-20T04:49:00Z	verification	kept the exact fork pin candidate open after the full portable suite reached a new independent target failure	the repaired framework passed the prior Unserializer and Template failures, then generated an int-valued else branch where OCaml required unit in haxe.io typed-array setters	npm run test:portable; test/portable/fixtures/haxe_io_bucket01_basic	pin/lifecycle evidence advanced; target unit-result lowering still needs a bounded fix
2026-07-20T04:57:00Z	framework	preserved the final result of nested value-producing blocks in the generic Reflaxe optimizer	the apparent OCaml branch mismatch came from Reflaxe deleting a required Haxe block result, so a target coercion would have hidden the framework defect	fullofcaffeine/reflaxe#3; haxe_io_bucket01_basic; haxe_core_bucket02_basic	generic regression and focused compatibility fixtures pass; fork main is bfadffb8926e378a4ce8be4b5f66e53b2a9af216
2026-07-20T05:05:00Z	verification	accepted the final fork pin candidate across the complete portable conformance corpus	the full suite is the first broad proof that the three generic Reflaxe repairs preserve existing OCaml target behavior beyond the focused incidents	npm run test:portable; fullofcaffeine/reflaxe@bfadffb8926e378a4ce8be4b5f66e53b2a9af216	portable conformance passed; package and cross-host evidence remain open
2026-07-20T05:06:00Z	review	made Why, What, How, and source-to-target examples mandatory in fork PR bodies	framework diffs are easier to review when the source semantic failure and generated consequence are visible without reconstructing typed AST internals	AGENTS.md; docs/00-project/REFLAXE_INTEGRATION_FORK_POLICY.md; fullofcaffeine/reflaxe#1; fullofcaffeine/reflaxe#2; fullofcaffeine/reflaxe#3	all three merged fork PR records revised; pre-emission failures explicitly say no target source existed
2026-07-20T05:17:00Z	verification	closed the exact Reflaxe pin after identical hosted Linux and macOS framework/source behavior	the package matrix proved both hosts consumed the same fork bytes and emitted the same OCaml/source behavior despite platform-specific native executables	hxhx run 29718548626; artifact 8451534708; haxe_ocaml-7201t.2	macOS arm64 and Linux x64 package consumers passed; bead closed after xhigh implementation audit
2026-07-20T05:23:00Z	ci	restored fork PR, main-push, and manual core workflow evidence while making generated-project jobs test the checked-out fork	CI that downloads SomeRanDev/reflaxe can be green without testing the fork revision under review	fullofcaffeine/reflaxe#4; manual run 29719038645	old and latest Haxe, runtime, direct/intermediate scaffolding, and CLI build routes pass
2026-07-20T05:26:00Z	release	made inherited Haxelib publication and fork Pages deployment deliberate manual actions	the first restored main run attempted external Haxelib publication and Pages deployment during an ordinary merge; missing secrets/site configuration are not safety boundaries	fullofcaffeine/reflaxe#5; fullofcaffeine/reflaxe#6	normal main pushes no longer schedule either external side effect
2026-07-20T05:32:00Z	review	added the detailed source-to-target evidence contract as a fork-native PR template	future contributors should see the Why, What, How, examples, verification, rollback, deferred scope, and signature requirements while authoring the PR	fullofcaffeine/reflaxe#7; .github/pull_request_template.md	fork main 8784f97259a293a07302588a2d00eff80bca91f4 runs only the intended test workflows on normal pushes
2026-07-20T06:25:00Z	framework	landed revisioned semantic-preprocessor ownership as a target-neutral opt-in contract	Reflaxe must name the pass that loses or stales a target artifact without learning OCaml semantics or changing non-opted-in compilers	fullofcaffeine/reflaxe#8; haxe_ocaml-7201t.1	fork main f4f7948142a4d32614d45e9369c38bc50da1baa2; six fork checks passed; target-side plan sealing remains haxe_ocaml-7201t.4
2026-07-20T06:45:00Z	communication	made first-read technical explanations a reusable cross-repository Codex capability	accurate change records still exclude contributors when they rely on undefined local meanings or compound labels that hide several operations	$explain-technical-work; haxe_ocaml-n5luy; fullofcaffeine/reflaxe#8; fullofcaffeine/reflaxe#9	global skill validates; PR #8 rewritten with definitions, behavior example, ordered steps, and references; fork guidance merged at ad8f7337be004a2445405e07b2f01730d23e34a7 with six green checks
2026-07-20T07:35:28Z	communication	generalized the shared explanation skill across technical fields instead of encoding this repository's vocabulary	future repositories need the same first-read clarity without inheriting compiler-specific terms or a fixed glossary	'-technical-work; skill-creator quick_validate.py	skill validates; project-specific term audit found no matches
2026-07-20T07:35:28Z	target-lifecycle	separated early protection identity from final plan identity and recorded an explicit one-to-one replacement	the early marker must survive generic rewrites while the final identifier must describe the exact body reaching OCaml generation	OcamlPlacePlanRegistry.hx; FinalizePlaceAssignmentsImpl.hx; ocaml_semantic_lifecycle_trace.json	focused lifecycle trace and late-mutation negative test pass
2026-07-20T07:35:28Z	compatibility	refreshed four lowering reports only for the new canonical function identity contract	the new Reflaxe identity includes owner, static or instance kind, and signature; normalized plan content and executable output stayed identical	place_* expected.lowering.json; NORMALIZED_PLAN_AND_RUNTIME_PARITY:PASS	four exact report checks and runtime fixtures pass
2026-07-20T07:35:28Z	verification	accepted the lifecycle cutover across the complete portable OCaml corpus	broad source-checkout evidence must show generic preprocessing and plan sealing did not disturb unrelated Haxe behavior	npm run test:portable; /tmp/haxe-ocaml-full-portable-lifecycle.log	74 of 74 fixtures compiled and executed successfully
2026-07-20T07:38:42Z	communication	corrected the previous shared-skill evidence pointer	shell expansion shortened the skill name in the prior row, so the append-only trail needs an explicit correction	explain-technical-work; haxe_ocaml-n5luy	the prior row remains historical; this row supplies the complete evidence name
2026-07-20T07:41:22Z	provenance	corrected the Reflaxe content digest before package construction	the first committed package run proved the proposed value used a different hashing method from the established source-tree pin contract	package summary failure on 8a80f2fba; REFLAXE_CONTENT_DIGEST:PASS	declared and measured digest now agree at 4d0692be353bc00515175b91f09ddb17d216a5a8e8d1d09c463787ae47e5634a
