ts	phase	decision	why	evidence	result
2026-08-08T22:42:34Z	frame	Treat the current-source failure as a nested-function identity defect, not a numeric-literal defect.	The compiler stops while it plans EmitterStage before the numeric fixture can run.	haxe_ocaml-w32h3.39	confirmed unresolved
2026-08-08T22:42:34Z	model	Preserve a binding for every observed nested function, including functions whose result behavior remains deferred.	A deeper child must name its real immediate parent even when that parent still uses the older syntax path.	packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlFunctionPlanSealer.hx:265	focused regression pending
2026-08-08T22:42:34Z	design	Keep parent identity separate from the optional represented behavior plan.	This retains strict parent validation without pretending that deferred behavior is fully supported.	packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlFunctionPlanRegistry.hx:300	implementation pending
2026-08-08T22:49:43Z	red test	Added a deferred outer function with a represented Int child.	This is the smallest typed case that reproduces the current-source parent loss.	test/reflaxe_ocaml_control_plan/src/ControlPlanFixture.hx	failed with ocaml-nested-function:stale-parent
2026-08-08T22:49:43Z	implementation	Stored identity for admitted and deferred nested functions, and used that identity while syntax builds each body.	Behavior admission and lexical parent ownership are independent facts.	packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlFunctionPlanRegistry.hx	focused test green
2026-08-08T22:49:43Z	focused proof	Ran the control-plan fixture twice and the three-route early-return oracle once.	The new case passes and the existing parent-corruption and runtime behavior checks remain active.	npm run test:reflaxe-ocaml:control-plan; npm run test:reflaxe-ocaml:early-return-oracle	tests green
2026-08-08T23:11:40Z	compiler-scale proof	Rebuilt current-source hxhx past the former parent-identity error.	The build reached a distinct nested IMap conversion after 360 seconds.	npm run test:m14:hih-complete-numeric-literals:current-source	original blocker cleared; new blocker haxe_ocaml-0uwin.24
2026-08-08T23:11:40Z	scope	Tracked nested IMap planning as a separate child of the runtime and IMap owner.	The identity fix must not grow into an unrelated IMap conversion implementation.	haxe_ocaml-0uwin.24	follow-up open
2026-08-08T23:20:22Z	generated evidence	Regenerated six lowering reports with the official deterministic fixture runner and compared their normalized meaning with HEAD.	The pipeline version is part of plan identity, so derived hashes and ordering legitimately change; semantic fields must not change silently.	PORTABLE_UPDATE_LOWERING_GOLDENS=1 plus independent normalized JSON comparison	all six reports changed only in version-derived identities and ordering
2026-08-08T23:26:29Z	second-pass review	Confirmed that deferred functions receive identity only, while behavior plans remain optional and all stale, foreign-parent, duplicate, and body-revision checks stay fail-closed.	This xhigh change must fix the ownership model without turning unsupported nested behavior into plausible output.	code review plus control-plan, early-return, IMap-boundary, portable build/run, format, path, and provenance gates	bounded identity seam accepted; Oracle deliberately skipped because no competing architecture or unclear owner remains
