ts	phase	decision	why	evidence	result
2026-09-02T07:06:59Z	ownership	claim the existing exact enum-constructor JavaScript task	the typed projection marker still reached the unsupported-expression diagnostic, and no open pull request owned the repair	Bead haxe_ocaml-liryf, open pull request inventory, and M7 run 32346252210	claimed by repository-agent at thinking:high
2026-09-02T07:06:59Z	failing-contract	reduce the upstream failure to one ordinary Haxe enum construction and string conversion	the smallest faithful fixture must distinguish a typed enum constructor from a generic call without relying on parser spelling	upstream Haxe 4.3.7 unit.TestBasetypes.testString and the pre-fix native JavaScript failure	the focused fixture failed at $hxhx:exact-enum-constructor before implementation
2026-09-02T07:06:59Z	semantic-owner	lower the existing exact typed marker through its emitted carrier class	the carrier constructor already owns the enum tag, index, and parameter representation; reconstructing source text or a second object shape would create drift	TypedExactEnumConstructorSource owner, module, declaration, constructor, and argument fields	secondary enum paths resolve deterministically and call the exact emitted constructor
2026-09-02T07:06:59Z	string-contract	centralize JavaScript Std.string behavior in one runtime helper	native JavaScript String renders enum carrier objects as [object Object], while Haxe 4.3.7 requires Constructor(arg1,arg2)	stock Haxe 4.3.7 output and focused Node runtime output	Std.string and direct lowering now share recursive null, array, function, and enum rendering
2026-09-02T07:06:59Z	ambiguity-control	reject missing carrier identity and avoid constructor-name search	two enums can legally contain constructors with the same spelling, so traversal order is not semantic identity	ambiguous Shared fixture and missing-carrier marker fixture	ambiguous bare syntax selects neither declaration, and inconsistent exact identity produces a deterministic diagnostic
2026-09-02T07:06:59Z	focused-proof	compare authored Haxe through native JavaScript with stock Haxe 4.3.7	the acceptance contract needs observable construction, string conversion, equality, and inequality behavior rather than generated-text inspection alone	new typed enum projection integration test and existing JavaScript emitter/system tests	focused tests, typed-backend guards, shard guards, formatter, JSON parsing, and diff checks passed
2026-09-02T07:06:59Z	design-review	keep the shared string helper in the existing JavaScript runtime-prelude owner	the helper is a small cross-cutting runtime operation and extracting a separate runtime library now would add indirection without changing ownership	JsTargetCore runtime prelude and reused Std.string lowering	centralized duplicate behavior without expanding the emitter into a parallel enum runtime
2026-09-02T07:06:59Z	capacity	defer generated bootstrap regeneration until the repository capacity gate admits it	the host already runs three unrelated background Haxe compilers; starting another heavy compiler would harm shared interactive work	HXHX_LOCAL_CAPACITY report: load1_per_cpu 2.325, limit 1.5, 10.24 GiB available, three competitors	stopped before expensive setup; no capacity override used
2026-09-02T07:10:48Z	bootstrap-invocation	retry regeneration with absolute retained-log and report paths	the admitted run changed into the package directory before opening a relative log path, so no Haxe compiler process started	capacity admitted after 92.175 seconds; shell failed opening .tmp/haxe_ocaml-liryf-bootstrap-logs/hxhx-stage0-emit.aQI6U3	classified as an invocation-path error with no compiler evidence or generated changes
2026-09-02T07:27:27Z	toolchain-isolation	use a disposable release-shaped haxelib repository for bootstrap regeneration	the machine-wide reflaxe.ocaml development override and the repo-root dev parameters each requested Reflaxe, causing ReflectCompiler.Start to run twice; global tool state must not be mutated	native Haxe verbose macro trace, monorepo guidance, pinned Reflaxe package, and deterministic reflaxe.ocaml archive build	isolated repository resolves reflaxe.ocaml 0.34.0 and the reviewed Reflaxe commit with exactly one ReflectCompiler.Start registration
2026-09-02T13:44:00Z	bootstrap-timeout	classify the first isolated native regeneration as a throughput failure and retry only after fresh capacity admission	the compiler remained CPU-active until the explicit 3600-second ceiling but produced no output; historical equivalent regenerations finish in roughly 11 to 15 minutes	bootstrap report exit 124, 179 heartbeat samples, 808 MiB peak RSS, cleanup complete, and host load above 6 after exit	preserved canonical optimization settings and selected one bounded retry with a 7200-second ceiling
2026-09-02T16:10:00Z	bootstrap-scope	retain only the two source-generated JavaScript backend modules from the successful stage0 emit	the full snapshot also exposed unrelated committed-source drift in EmitterStage whose six unused-variable warnings fail strict native verification; that drift is not caused by enum lowering	stage0 emit completed; full verification reached 98 percent; failures were confined to generated EmitterStage call-argument callbacks	preserved the unrelated generated files in .tmp and restored their tracked snapshot versions
2026-09-02T16:12:00Z	native-proof	build the narrowed generated snapshot before upstream testing	generated JavaScript modules must link against the committed compiler snapshot without hidden dependencies on unrelated regenerated files	taskpolicy background build via scripts/hxhx/build-hxhx.sh	native bytecode compiler build passed
