ts	phase	decision	why	evidence	result
2026-07-25T03:02:59Z	calibration	use xhigh for the shared OR-pattern identity cutover	a wrong local identity can compile successfully while making alternatives or the case body read different values	haxe_ocaml-850ii.32.2.13.1; calibrate-reasoning-effort	xhigh applied for subsequent turns
2026-07-25T03:02:59Z	provenance	use upstream Haxe 4.3.7 only to establish observable binding rules	the repository must preserve Haxe behavior without deriving MIT shipping code from the copyleft compiler implementation	docs/00-project/PROVENANCE_POLICY.md; .tmp/or-pattern-oracle	behavior-level contract only
2026-07-25T03:02:59Z	scope	make the typer allocate one local and make typed-body replay reuse it across OR alternatives	identity belongs to the shared source-language model, not to PHP spelling or backend repair	TyFunctionEnv.hx; TyperStage.hx; TypedBodyBuilder.hx	prerequisite claimed
2026-07-25T03:02:59Z	design	analyze the complete pattern before declaring locals, then map all repeated occurrences to one symbol	the scope stays unchanged on invalid input and the same plan drives the typer and typed-body replay	packages/hxhx-core/src/TySwitchPatternBindings.hx	shared clean-room seam selected
2026-07-25T03:02:59Z	recalibration	release xhigh and use high for bounded implementation and focused semantic gates	the high-consequence ownership decision is settled; replay and projection still need careful validation	calibrate-reasoning-effort	high applied for subsequent turns
2026-07-25T03:02:59Z	implementation	route typer declaration, typed-body replay, and backend projection through the shared OR-pattern identity plan	one compiler owner now selects identity before targets choose spelling	packages/hxhx-core/src/TySwitchPatternBindings.hx; TypedBodySource.hx	implementation ready for focused verification
2026-07-25T03:02:59Z	coverage	extend the typed-local fixture with OR-pattern statements, expressions, repeated compilation, projection, and invalid-input rollback	the test observes declaration identity, case-body reads, transport names, and absence of partial scope mutation	test/M14TypedLocalIdentityIntegrationTest.hx	focused coverage added
2026-07-25T03:02:59Z	verification	correct helper record mutability and null-normalized comprehensions after the first focused compile	the compiler rejected Haxe syntax/type-shape details before running the semantic assertions	packages/hxhx-core/src/TySwitchPatternBindings.hx	focused compile failed before execution; correction applied
2026-07-25T03:02:59Z	verification	run the typed-local identity fixture after correcting the helper	the test directly compares occurrence, body-read, replay, and projected identities	test/m14_typed_local_identity_integration_test.hxml	passed
2026-07-25T03:02:59Z	verification	rerun the PHP object group that exposed the gap	the real tuple OR-pattern must generate and execute with the selected alternative value	scripts/test-hxhx-targets.sh; assertPhpTupleOrPatternCapture	passed
2026-07-25T03:02:59Z	verification	rerun language and target source-native groups	the shared typer helper is consumed by every source-native route, so unrelated switch and target behavior must remain stable	scripts/test-hxhx-targets.sh	language and target groups passed
2026-07-25T03:02:59Z	provenance	remove the local upstream-oracle scratch fixtures after recording behavior-only evidence	the MIT shipping tree needs only original repo tests and the clean-room behavior contract	docs/00-project/PROVENANCE_POLICY.md; .tmp/or-pattern-oracle	scratch sources removed
2026-07-25T03:02:59Z	verification	correct the typed-backend guard command after npm rejected an outdated script name	the failed command ran no guard and cannot count as evidence	package.json	guard:typed-backend-bodies selected for rerun
2026-07-25T03:02:59Z	verification	run the typed-backend boundary guard and patch hygiene check	the shared identity may cross the backend only through typed facts and the diff must remain mechanically clean	scripts/ci/typed-backend-body-boundary-check.js	TYPED_BACKEND_BODY_BOUNDARY passed; diff check passed
2026-07-25T03:02:59Z	broad-gate	classify failures from the untouched runtime and platform source-native groups	the runtime failure is an ordinary variable without a typed projection and the platform mismatch is an old source-spelling assertion against an exact renamed local; neither path uses OR-pattern binding analysis	TypedBodySource.hx:505; M14SourceNativeBackendSmokeIntegrationTest.hx:8546	parent PHP/local-projection follow-up; OR prerequisite remains green
2026-07-25T03:24:08Z	compiler-shard	run the canonical compiler shard after the shared identity and projection gates passed	the helper participates in typing and typed-body replay used by every backend and server dependency path	npm run test:ci:shard -- --shard compiler	all 114 commands passed in 657.986 seconds
2026-07-25T03:24:08Z	second-pass	accept one pre-mutation analysis, one logical declaration per name, repeated occurrence references, and exact projection as the only OR-binding path	this preserves lexical replay, invalid-input rollback, deterministic revisions, and backend-independent meaning while rejecting spelling correlation	packages/hxhx-core/src/TySwitchPatternBindings.hx; test/M14TypedLocalIdentityIntegrationTest.hx	review passed; no Oracle escalation needed for the now-bounded seam
2026-07-25T03:24:08Z	readiness	leave README Goals and North Star status unchanged	this closes an internal semantic prerequisite but does not add a supported route, typed cache, or release claim	README.md; docs/00-project/NORTH_STAR_GOALS.md	no documentation readiness change
