timestamp	decision	reason	evidence	result
2026-08-14T17:30:00Z	Confirm the issue against current generated-native behavior	An older Gate 1 report is not enough to justify new operator architecture	Current prebuilt hxhx compiled and ran one Dynamic parameter through logical-not, numeric negation, and bitwise-not	Issue remains reproducible: Boolean Dynamic is printed as 1 and logical-not result as 0
2026-08-14T17:31:00Z	Use observable output for evaluation-count evidence	An unrelated static-mutable-field limitation made an integer counter unsuitable	observed() prints before returning its Dynamic argument	All three operands execute exactly once in both upstream and native output
2026-08-14T17:32:00Z	Reject an emitter-only helper-name patch	The current emitter applies primitive operators directly and the task requires a shared typed Dynamic operation boundary	Main.ml uses not, unary minus, and HxInt.lognot on the same inferred OCaml value	Next implementation seam must identify Dynamic operations before syntax rendering and deliberately box their results
2026-08-15T00:36:27Z	Extract Dynamic operation selection from the Stage3 mega-file	The Haxe owner should select checked operations while the OCaml runtime only validates carriers and applies primitives	packages/hxhx-core/src/backend/ocaml/OcamlDynamicOperatorLowering.hx	Unary, binary, lazy Boolean, and Dynamic call-boundary decisions have one typed Haxe owner
2026-08-15T00:36:27Z	Carry declared call result types into Stage3 emission	A Dynamic result cannot be classified safely from a rendered call name or OCaml syntax	packages/hxhx-core/src/EmitterCallSig.hx, packages/hxhx-core/src/EmitterStage.hx	Dynamic and Bool call results now retain the carrier distinction needed for correct boxing
2026-08-15T00:36:27Z	Use checked runtime helpers for Dynamic operator values	The runtime may inspect Obj.t only after local tag checks, while Haxe remains responsible for selecting the operation	packages/reflaxe.ocaml/std/runtime/HxDynamic.ml	Supported operators compile and run without a new Obj.magic call-site fallback
2026-08-15T00:36:27Z	Make the focused executable compare against stock Haxe 4.3.7	The expected behavior must be independent of the new emitter and must include the ExprTools one-local shape	test/M14HxhxStage3DynamicOperatorIntegrationTest.hx	Oracle and native output match for unary, arithmetic, string addition, bitwise, comparison, equality, and lazy Boolean cases
2026-08-15T00:36:27Z	Fix Bool-returning calls at Dynamic boundaries during second-pass review	A Bool call was initially treated as an ordinary Obj.repr value because call result facts were not passed to every classifier	test/M14HxhxStage3DynamicOperatorIntegrationTest.hx	Both direct Bool calls and Bool calls returned as Dynamic use the distinct runtime box
2026-08-15T00:36:27Z	Stop retrying current-source bootstrap after both profiles reached the watchdog	Strict and no-prepass stage0 generation each used sustained CPU and multiple GiB without diagnostics for the full 7200-second bound	scripts/hxhx/build-current-source-hxhx.sh, scripts/hxhx/build-fast-current-source-hxhx.sh	Bootstrap remains unproved locally; existing performance owner haxe_ocaml-xsg6m matches the observed failure
2026-08-15T00:36:27Z	Keep the change at thinking:high without Oracle	The source seam is bounded, the Haxe 4.3.7 oracle is decisive, and focused checks converged; the unresolved item is known build cost rather than architecture ambiguity	.audit/haxe_ocaml-ch1o9.tsv	Written second pass completed; Oracle deliberately skipped
