timestamp	decision	why	evidence	result
2026-07-25T05:57:45Z	Create an exact-PHP-local-facts prerequisite before deleting process state	The current PHP local map mixes request lifetime with source-shaped semantic reconstruction; wrapping it in a context would preserve the wrong authority	TypedBackendFunctionProjection exposes an exact local catalog, while SourceTargetCommon seeds phpRenderLocalTypes from argument/AST hints	Implementation pending
2026-07-25T07:06:14Z	Use thinking:xhigh for the semantic cutover	A plausible local-type mistake can produce valid-looking but behaviorally wrong PHP, so the work needs a deliberate second pass	haxe_ocaml-850ii.32.2.14 thinking:xhigh label	xhigh was sufficient
2026-07-25T07:06:14Z	Introduce one exact PHP function-local facts adapter	PHP needs a request-owned mutable view without becoming the owner of local identity or Haxe type resolution	packages/hxhx-core/src/backend/source/PhpFunctionLocalFacts.hx	Exact typed catalog is authoritative
2026-07-25T07:06:14Z	Make canonical semantic type display a TyType responsibility	Targets must not repeat import alias, nullable, function, generic, or anonymous-structure resolution	packages/hxhx-core/src/TyType.hx; packages/hxhx-core/src/TypedBodySource.hx	One canonical display API
2026-07-25T07:06:14Z	Represent anonymous object field types structurally	The full PHP suite exposed a real local whose anonymous object type had collapsed to Dynamic, defeating exact local facts	packages/hxhx-core/src/TyType.hx; packages/hxhx-core/src/TyperStage.hx	Deterministic sorted anonymous semantic shape
2026-07-25T07:06:14Z	Preserve an already-known local contract across incompatible permissive assignment	Conversion typing is incomplete, but widening a declared or inferred local to Dynamic erases exact facts and moves semantic guessing into the target	test/M14TypedLocalIdentityIntegrationTest.hx	Known local type remains authoritative; strict mode fails
2026-07-25T07:06:14Z	Select PHP Array.indexOf from the exact local array type	The source-native suite showed callbacks.indexOf taking object dispatch after exact Array facts became visible	test/M14SourceNativeBackendSmokeIntegrationTest.hx; packages/hxhx-core/src/backend/source/SourceTargetCommon.hx	Existing Haxe-equality-aware array helper selected
2026-07-25T07:06:14Z	Keep source-shaped inference only for unknown compatibility gaps	Incomplete bring-up facts still need a bounded fallback, but that fallback must never overwrite a non-empty exact type	packages/hxhx-core/src/backend/source/SourceTargetCommon.hx	Known facts preserved; unknown facts may be filled
2026-07-25T07:06:14Z	Use upstream Haxe 4.3.7 only as a behavior and architecture oracle	The repository must remain clean-room and MIT-eligible; GPL implementation or tests cannot be copied, translated, retyped, or mechanically adapted	AGENTS.md; docs/00-project/PROVENANCE_POLICY.md	Clean-room boundary preserved
2026-07-25T07:06:14Z	Reject the first bootstrap result instead of patching generated OCaml	The direct Reflect.compare function reference lowered to an unsupported module, proving the Haxe source form was not bootstrap-safe	.tmp/haxe_ocaml-850ii.32.2.14-bootstrap-report.json	Replaced source expression with supported lambda form
2026-07-25T07:06:14Z	Regenerate and verify bootstrap output from Haxe source	The corrected Haxe source must be the authority; generated ML is evidence, not a hand-maintained implementation	.tmp/haxe_ocaml-850ii.32.2.14-bootstrap-report-second.json	Full regeneration passed in 1014 seconds
2026-07-25T07:06:14Z	Run focused semantic and lifecycle verification	The cutover affects local identity, typed bodies, PHP output, repeated requests, and failure cleanup	test:m14:source-native-backend-smoke; test:m14:typed-local-identity; typed-body and abstract operator tests	Focused gates passed
2026-07-25T07:06:14Z	Run the complete compiler shard and full repository guards	Broad validation is warranted after changing shared TyType and permissive assignment behavior	Compiler shard 114/114 in 389.781s; npm run ci:guards	All compiler commands and guards passed
2026-07-25T07:06:14Z	Verify stage0-free native build and clean diff syntax	The generated native compiler must consume the new Haxe-owned types without hidden stage0 delegation	HXHX_FORBID_STAGE0=1 scripts/hxhx/build-hxhx.sh; git diff --check	Stage0-free build and diff check passed
2026-07-25T07:06:14Z	Keep the parent request-state task open	This child fixes semantic authority but intentionally leaves phpRenderLocalTypes process-wide until a request-owned renderer context replaces it	haxe_ocaml-850ii.32.2	No typed-reuse or concurrency claim
2026-07-25T07:06:14Z	Reject closure after fresh-eyes review found nested-scope overwrites	Lambda, switch, and catch scopes copied exact facts and then used direct map writes that could erase them	SourceTargetCommon.hx lambda/switch/catch local setup	Closure blocked
2026-07-25T07:06:14Z	Route nested-scope compatibility facts through unknown-only filling	Only an explicit rest-argument carrier may replace a target-neutral exact type	packages/hxhx-core/src/backend/source/SourceTargetCommon.hx	Exact nested facts preserved
2026-07-25T07:06:14Z	Add a focused nested-scope overwrite regression	The helper contract now proves both halves of the boundary: known facts survive and unknown facts may be filled	test/M14SourceNativeBackendSmokeIntegrationTest.hx	Regression added
2026-07-25T07:06:14Z	Reject the first nested-scope fix when the full suite exposed a Dynamic catch fact	PHP correctly stopped repairing parsed catch text, revealing that shared typing discarded the explicit catch type	npm run test:m14:source-native-backend-smoke	ValueException field read regressed to dynamic helper
2026-07-25T07:06:14Z	Record explicit catch types in shared typing	The typer, not PHP, owns the semantic type of a catch binding	packages/hxhx-core/src/TyperStage.hx; test/M14TypedLocalIdentityIntegrationTest.hx	Typed catalog now carries the written catch type
2026-07-25T07:06:14Z	Reject closure again after review found Dynamic could still erase known locals	TyType unification admits Dynamic and the three local mutation sites stored that permissive result as the local contract	TyType.hx unify; TyperStage.hx declaration, assignment, compound assignment	Closure blocked
2026-07-25T07:06:14Z	Preserve a known local type when an incoming assignment is Dynamic	Dynamic permits the value flow but does not replace the local's static semantic contract	packages/hxhx-core/src/TyperStage.hx assignedLocalType	All three local mutation sites share one rule
2026-07-25T07:06:14Z	Cover Dynamic initializer, assignment, compound assignment, and unknown inference	The prior String mismatch test did not exercise successful Dynamic unification	test/M14TypedLocalIdentityIntegrationTest.hx	Known Int stays Int; unknown local may become Dynamic
2026-07-25T07:36:00Z	Refresh the complete compiler shard after the second-pass semantic fixes	The catch-binding and Dynamic-assignment corrections changed shared typing after the earlier broad evidence was collected	npm run test:ci:shard -- --shard compiler	All 114 compiler commands passed in 527.769 seconds
2026-07-25T07:39:00Z	Refresh focused typed and request-state guards after the second-pass fixes	The final source must preserve the typed-body boundary and keep every remaining process-wide declaration explicitly classified	typed-body-boundary; typed-abstract-unary; typed-abstract-binary; native-server-request-state audit	All focused gates passed; 113 process-wide declarations classified
2026-07-25T08:01:00Z	Regenerate the final native bootstrap exclusively from the corrected Haxe source	The semantic fixes must lower into buildable OCaml without hand-editing generated output or borrowing upstream implementation code	scripts/hxhx/regenerate-hxhx-bootstrap.sh --full --force --report-json .tmp/haxe_ocaml-850ii.32.2.14-bootstrap-report-final.json	387 files; emit 1235s; verify 23s; total 1270s; passed
2026-07-25T08:03:00Z	Build the regenerated native compiler with stage0 delegation forbidden	The normal native build must consume the committed generated snapshot without silently invoking upstream Haxe	HXHX_FORBID_STAGE0=1 bash scripts/hxhx/build-hxhx.sh	Native out.bc build passed
2026-07-25T08:08:00Z	Run the complete repository guard bundle against the final generated state	The cutover must preserve provenance, generated-source ownership, server-state classification, target boundaries, and formatting	npm run ci:guards	All guards passed; Haxe formatter checked 886 files
2026-07-25T08:10:00Z	Complete the final semantic and provenance audit	Closure requires one source of truth for exact local facts, explicit target-only exceptions, fail-closed projections, and no GPL implementation adaptation	SourceTargetCommon.hx; TyperStage.hx; PhpFunctionLocalFacts.hx; PROVENANCE_POLICY.md	Unknown-only fallback confirmed; only rest carrier overrides; clean-room boundary preserved
2026-07-25T08:10:00Z	Leave README Goals and North Star readiness unchanged	This internal semantic-authority correction does not make typed reuse, concurrent requests, or a supported product route ready	README.md; parent haxe_ocaml-850ii.32.2	No readiness change
