ts	phase	decision	why	evidence	result
2026-07-24T22:02:21Z	backend-selection	migrated Neko as the second strict typed-local projection consumer	Neko is an active structurally different backend whose source-shaped local rendering can reuse already-distinct projected names	packages/hxhx-core/src/backend/vm/NekoTargetCore.hx	bounded second-consumer proof without Stage3 OCaml or shared source-target expansion
2026-07-24T22:02:21Z	ingestion	built one strict module projection array at each Neko target entry and passed it through all three module discovery helpers	repeated declaration-only reads could let target phases observe a compatibility view that discarded exact local identity	packages/hxhx-core/src/backend/vm/NekoTargetCore.hx	main lookup, class lookup, and runtime metadata now consume one strict view
2026-07-24T22:02:21Z	naming	assigned readable transport names in the shared exact-binding catalog and reserved every original source spelling	Neko can render the strict projected body directly, while value, value_1, and a shadowed value remain deterministic and collision-free	packages/hxhx-core/src/TypedBackendLocalCatalog.hx, test/M14NekoTypedLocalProjectionIntegrationTest.hx	first bindings retain readable names and duplicates skip occupied suffixes
2026-07-24T22:02:21Z	runtime-proof	compiled and ran nested Int and String shadowing through Neko source and bytecode	executable behavior must prove reads and writes selected the typed declaration rather than merely producing plausible source	test/M14NekoTypedLocalProjectionIntegrationTest.hx	parameter read/write, nested local read, and outer local read produced inner! then 1
2026-07-24T22:02:21Z	containment	left strict projection request-local and on demand in TypedModule	an unmigrated backend must not fail because of a projection rule it does not consume	packages/hxhx-core/src/TypedModule.hx, packages/hxhx-core/src/backend/vm/NekoTargetCore.hx	legacy compatibility consumers remain isolated and cannot claim exact-local evidence
2026-07-24T22:02:21Z	focused-validation	ran typed-local, JS projection, Neko projection, backend-body, and shard-contract checks	the narrow gates cover shared identity, both migrated consumers, fail-closed body ownership, and required test inventory	test/M14TypedLocalIdentityIntegrationTest.hx, test/M14JsTypedLocalProjectionIntegrationTest.hx, test/M14NekoTypedLocalProjectionIntegrationTest.hx	all focused checks passed
2026-07-24T22:02:21Z	broad-validation	ran the canonical compiler shard after the shared catalog and Neko migration	the change affects a shared projection contract and must remain compatible with all required compiler checks	scripts/ci/core-test-shard.js	112 of 112 commands passed in 463.095 seconds
2026-07-24T22:02:21Z	repository-validation	ran the full Haxe formatter guard and whitespace check	the hand-off must be formatted and patch-safe across the dirty working tree	scripts/lint/hx_format_guard.sh, git diff --check	format clean across 886 files and diff check passed
2026-07-24T22:02:21Z	baseline-qualification	reproduced the older broad Neko smoke failure from an exact HEAD archive	the enum-abstract assertion had to be separated from the strict local-projection claim before closure	/tmp/hxhx-neko-baseline.CpyLOy, test/M14NekoNativeBackendSmokeIntegrationTest.hx	exact committed baseline fails on the same Main_getNdllSuffix assertion; strict and legacy module views are identical there
2026-07-24T22:02:21Z	second-pass-review	confirmed Neko has no declaration-only module ingestion and this slice added no opaque text repair or Stage3 semantics	the high-risk acceptance is exact binding preservation, not a new target workaround	packages/hxhx-core/src/backend/vm/NekoTargetCore.hx, packages/hxhx-core/src/TypedBackendModuleProjection.hx	closure boundary is sound; pre-existing Neko raw recovery code remains unchanged and outside this slice
