ts	phase	decision	why	evidence	result
2026-08-10T08:17:00Z	calibration	Use thinking:xhigh for exceptional Reflect.compare runtime authority	This compiler decision permits private runtime calls, so weak ownership could silently print believable but unauthorized OCaml	calibrate-reasoning-effort; haxe_ocaml-0uwin.31.4	xhigh applied for subsequent turns
2026-08-10T08:17:00Z	behavior-first red	Require exact throw evidence for exceptional Float and String comparators only	The prior comparator decision selected behavior but did not prove the private HxRuntime.hx_throw call it could print	test/portable/fixtures/reflect_compare_typed/test.sh	RED as intended: Float decision had no runtimeRequirementIds or runtimeUseOccurrences
2026-08-10T08:17:00Z	implementation	Seal one decision-owned HxRuntime.hx_throw occurrence for each exceptional comparator	Syntax must consume a permission tied to the exact comparator decision instead of rediscovering permission from the selected domain	OcamlReflectComparePlan; OcamlBuilder; OcamlReflectCompareRuntimeRequirementRecorder	Float and non-nullable String own one exact throw use; Int and nullable String own none
2026-08-10T08:17:00Z	lifecycle correction	Record standalone comparator requirements as well as ordinary function-plan requirements	The static String comparison helper is sealed through a separate standalone-expression path and initially reached report validation without its ledger row	focused portable tracer failure; OcamlCompiler.sealStandaloneExpression	both lifecycle paths now publish the same decision-derived requirement
2026-08-10T08:17:00Z	report correction	Include validated Reflect.compare requirements in the lowering report	The report intentionally emits only recognized owner families and initially omitted the new requirement even though compilation had recorded it	focused portable tracer failure; OcamlLoweringReportWriter	public inspection now sees and revalidates each exceptional comparator requirement
2026-08-10T08:17:00Z	dependency correction	Keep Reflect-specific mapping outside the generic runtime ledger	Importing the heavyweight Reflect plan into the shared ledger broke its lightweight reflaxe_runtime fixture	failed npm run test:reflaxe-ocaml:runtime-requirements; dedicated recorder module	generic ledger stays target-neutral and lightweight; focused ledger and shadow fixtures pass
2026-08-10T08:17:00Z	model revision	Advance the decision model to v3 while retaining the v2 behavior-proof prefix	The serialized decision gained authority fields, but the underlying typed comparison behavior and independent oracle did not change	OcamlReflectComparePlan; ReflaxeOcamlInspection	consumers reject old decision shapes without pretending the semantic proof changed
2026-08-10T08:17:00Z	inventory	Remove only the migrated Reflect.compare throw constructor	The inventory is migration evidence and must shrink only when the builder no longer creates an unproven private symbol	runtime inventory writer and guard	381 -> 380; one builder-exceptions row removed
2026-08-10T08:17:00Z	verification	Run focused negative, requirement, authority, formatting, inventory, and real native build/run checks	Each check protects a separate part of the claim, from sealed evidence through emitted behavior	reflect compare plan; runtime requirements; runtime-use authority; reflect_compare_typed portable tracer; hx-format; no-Dynamic; local-path; diff	all passed
2026-08-10T08:17:00Z	second pass	Review domain cardinality, final-tree ownership, lifecycle coverage, report visibility, and dependency direction	An xhigh compiler-authority change needs an explicit challenge before closure	.audit/haxe_ocaml-0uwin.31.4-second-pass.md	bounded seam is fail-closed; Oracle deliberately skipped because the reproduced owner and fix boundary were clear
