ts	phase	decision	why	evidence	result
2026-08-03T16:51:00Z	selection	kept the control parent open and selected an exact-Int instance-result child	all 34 prior children are closed, while the current report still shows two repeated instance Int return blockers	Bead haxe_ocaml-w32h3; test/portable/fixtures/early_return/out/ocaml_lowering_report.json	confirmed unresolved
2026-08-03T16:53:00Z	scope	chose OcamlStdioOutput.writeBytes as the first behavior tracer	its zero-length path has one exact Int early return, no competing throw blocker, and no callable boundary	packages/reflaxe.ocaml/std/ocaml/_std/sys/io/Stdio.hx; test/portable/fixtures/early_return/out/sys_io_Stdio.ml	bounded instance-result slice
2026-08-03T16:54:35Z	tracking	created and claimed haxe_ocaml-w32h3.35 with thinking:xhigh	an incorrect declaration admission could produce believable but wrong native output	Bead haxe_ocaml-w32h3.35	in progress
2026-08-03T16:57:00Z	oracle	added a zero-length stdout write and ran pinned Haxe 4.3.7 routes	expected behavior must come from real Haxe execution rather than the target implementation	scripts/reflaxe-ocaml/run-early-return-control-oracle.sh	PASS routes=3 shared_cases=36
2026-08-03T16:57:30Z	tdd	made the focused OCaml fixture require two instance exact-Int result records	the test must fail for the missing compiler decision before implementation	test/portable/fixtures/early_return/test.sh	RED expected two records got zero
2026-08-03T17:10:00Z	implementation	added a result-only exact-Int rule for concrete non-generic instance methods	the completed value is provable without deciding receiver parameters dispatch or call sites	packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlFunctionResultBoundary.hx	two stdio returns admitted and no calls added
2026-08-03T17:10:30Z	validation	bumped lowering inspection and pipeline identities and added instance source corruption checks	old reports and mislabeled instance records must fail instead of being accepted under an older contract	packages/reflaxe.ocaml/src/reflaxe/ocaml/tooling/ReflaxeOcamlInspection.hx; test/portable/fixtures/early_return/test.sh	focused corruption matrix green
2026-08-03T17:18:00Z	green	ran the complete early-return fixture after the pipeline revision change	the real native program report public inspector and every corruption mutation must agree	scripts/test-portable.sh	PASS controls=46 function_results=51
2026-08-03T18:18:00Z	portfolio-finding	kept an existing direct-instance callable boundary as the sole result owner	the full portable portfolio found that Counter.loopTo already had complete call authority, so adding a declaration-only result would create conflicting compiler decisions	npm run test:portable; test/portable/fixtures/inc_dec/out/ocaml_lowering_report.json	100 fixtures passed; inc_dec failed closed on callable mismatch
2026-08-03T18:19:00Z	regression	added a focused Counter.loopTo report and generated-code check	the fix must reuse the admitted call result, preserve the exact Int carrier, and remove fallback recovery without creating a second declaration-only owner	test/portable/fixtures/inc_dec/test.sh	focused proof ready to rerun
2026-08-03T18:31:00Z	goldens	regenerated all six deterministic lowering reports twice from the finalized pipeline	the pipeline revision participates in derived decision IDs, so the reviewed reports must be replaced from two byte-equal compiler runs rather than edited by hand	scripts/test-portable.sh	PASS fixtures=6
2026-08-03T18:42:00Z	focused-verification	ran format, ownership, size, typed-body, call, control, inspection, stdio, and direct-instance checks	the result boundary must compile, fail closed under corrupted reports, and leave handwritten OCaml ownership unchanged	guard scripts and focused npm scripts	all focused checks passed
2026-08-03T19:27:00Z	full-portfolio	ran the complete portable portfolio against pushed commit 9de8f9204	the bounded result rule must preserve every unrelated Haxe-to-OCaml build and runtime contract	npm run test:portable	PASS 101/101 plus static-initialization parity
2026-08-03T19:29:00Z	package	tested the packaged target rather than only the source checkout	package output and executable behavior must remain reproducible through the user-facing install route	npm run test:reflaxe-ocaml:package-install	PASS archive=6c65b83f emitted=950e54a3 executable=44a7b6d6
2026-08-03T19:30:00Z	second-pass	scanned every retained lowering report for duplicate or mismatched result authority	xhigh closure requires an independent challenge of the ownership invariant after broad execution	34 reports; 965 callable results; 68 instance rows; two unique stdio functions	PASS conflicts=0; Oracle deliberately skipped because the seam is bounded and executable evidence is complete
