timestamp	category	decision	reason	evidence	result
2026-07-24T23:32:29Z	calibration	Use high for the exact Lua semantic seam, then return to medium for verification	The change must distinguish shadowed same-spelling locals without guessing from rendered names, but the existing strict projection already bounds the implementation; max is unnecessary	haxe_ocaml-850ii.32.2.9; calibrate-reasoning-effort	High covered implementation; medium covered gates, regeneration, evidence, and closure
2026-07-24T23:32:29Z	seam	Keep the legacy main-module declaration for reference-sensitive program lookup while structurally correlating its strict typed projection	Existing source-target program helpers still use declaration reference identity, while Lua local semantics need the exact sealed function-local catalog	SourceTargetCommon.luaTypedMainProjection; TypedBackendModuleProjection	Lua alone receives strict projections without changing unrelated source targets
2026-07-24T23:32:29Z	lowering	Move exact String-local call lowering into a small Haxe-authored module outside SourceTargetCommon	Lua must decide String behavior from TyLocalBinding and TyType before text rendering; adding more semantic recovery to the 18k-line shared renderer would deepen mega-file ownership	LuaStringLocalCallLowering; LuaTypedLocalProjectionIntegrationTest	Main and every selected helper lower through their own exact function projection
2026-07-24T23:32:29Z	hard-cut	Delete the name-keyed Lua local-type process map instead of keeping a compatibility wrapper	The old map let shadowed or sanitized names borrow another binding's type and required request reset	luaRenderLocalTypes; withLuaLocalTypes; luaLocalTypeHint; CompilerRequestStaticState; NATIVE_SERVER_REQUEST_STATE_AUDIT	All three symbols and their reset/audit entry are absent; classified process-wide fields fall from 117 to 116
2026-07-24T23:32:29Z	regression	Prove exact binding behavior across direct, repeated, failed, and repeated output	A same-spelling outer Int and inner String expose name-based leakage; a helper parameter proves each function owns a distinct catalog	M14LuaTypedLocalProjectionIntegrationTest; test:m14:lua-typed-local-projection	Only the exact String bindings lower to Lua String helpers; runtime output is INNER!, INNER, 7
2026-07-24T23:32:29Z	bootstrap-failure	Reject the first generated snapshot when native Dune verification found an unlowered first-class Reflect.compare reference	Passing Reflect.compare directly to Array.sort bypassed the backend's direct-call intrinsic lowering and generated an unavailable Reflect module	full regenerate report /tmp/haxe_ocaml-850ii.32.2.9-bootstrap.json; TypedBackendLocalCatalog.ml	Failure preserved; no generated OCaml was hand-patched
2026-07-24T23:32:29Z	bootstrap-correction	Use Haxe 4.3.7 Reflect.compare through a direct-call lambda instead of adding a duplicate private string comparator	Haxe has no StringTools comparator; the lambda preserves the standard-library semantic owner and lets reflaxe.ocaml lower the call to the existing HxReflect runtime	TypedBackendLocalCatalog.hx; Haxe 4.3.7 Reflect.hx; generated TypedBackendLocalCatalog.ml	Generated sort calls HxReflect.compare; native verification passes
2026-07-24T23:32:29Z	bootstrap	Regenerate committed OCaml only from authoritative Haxe sources	The native snapshot must contain the exact-projection lowerer and portable comparator without direct edits	bash scripts/hxhx/regenerate-hxhx-bootstrap.sh --full --report-json /tmp/haxe_ocaml-850ii.32.2.9-bootstrap-final.json	Stage0 emit 1448s; copy 1s; sharding 8s; native verification 28s; total 1492s; peak observed RSS 2397 MiB
2026-07-24T23:32:29Z	verification	Compose focused behavior, the canonical compiler shard, generated native build, ownership guards, and the full repository guard bundle	The claim crosses typed identity, Lua rendering, failed-request cleanup, generated-source ownership, server state, and formatting	test:m14:typed-local-identity; test:m14:lua-typed-local-projection; compiler shard 113 commands; regenerate native verify; npm run ci:guards	All checks pass; compiler shard elapsed 502.314s and full formatting checked 886 files
2026-07-24T23:32:29Z	second-pass	Accept the exact-local hard cut while leaving same-class static fields explicitly separate	The retained Lua static-field map still needs an exact field-projection contract; folding it into this child would mix binding and field identities	stale-symbol search; luaRenderSameClassStaticFieldTypes inventory	High was sufficient; child closes local-type state only and the static-field seam remains visible
2026-07-24T23:32:29Z	product-scope	Leave README Goals and North Star progress unchanged	This slice prevents request leakage and wrong shadowed-local lowering but does not yet add typed-module reuse, a default server, or a newly supported target route	README Goals review; haxe_ocaml-850ii.32.2.9 acceptance	No readiness or percentage change
