timestamp	doing	why	evidence	result
2026-08-09T21:25:00-06:00	Selected request-owned final ledger	Local reconciliation cannot see later subtree reuse	Closed String-default slice exposed one reconciled expression placed into separate constructor outputs	Design recorded; no implementation yet
2026-08-09T21:26:00-06:00	Chose structured pre-print and checked-text pre-write observation	This is the last point that still carries hidden occurrence identities	OcamlCompiler owns all module printer calls; OcamlCheckedGeneratedText retains checked references until seal	Ready for focused red contract
2026-08-09T21:28:00-06:00	Ran focused red contract	Prove the missing boundary before implementation	Direct RuntimeUseAuthorityFixture compile reported missing OcamlFinalRuntimeUseAuthority and the expected constructor mismatch	Red for intended reason
2026-08-09T21:42:00-06:00	Kept legacy plain names outside final hidden-ID ledger	The repository still has 388 inventoried plain sites, including other uses of symbols that some plans have migrated	String tracer first stopped on a legacy HxRuntime.unbox_bool_or_obj name	Inventory retains that debt; final ledger validates authority-bearing references only
2026-08-09T21:48:00-06:00	Required an explicit output-copy plan for dispatch constructors	The same constructor expression is emitted in create and the separate super-call entry	String tracer rejected duplicate place runtime use from haxe.Exception constructor output	Dispatch copy receives separate hidden IDs; undeclared reuse remains invalid
2026-08-09T21:54:00-06:00	Made identical accepted-plan registration a set union	Compiler preparation may materialize the same sealed function more than once without emitting it twice	String tracer repeated the same Bytes read plan while building haxe.io.Input	Conflicting facts fail; duplicate final occurrences still fail
2026-08-09T21:58:00-06:00	Declared the native catch channel as an output copy	One Haxe catch body is intentionally emitted for typed-Haxe and native-OCaml exception channels	Final tracer rejected the repeated Bytes.toString helper in haxe.io.Input.readLine	Second catch channel receives separate hidden occurrence identities
2026-08-09T22:04:00-06:00	Moved the catch copy to the actual older lowering seam	The failing readLine catch did not yet have a complete catch-chain plan, so the first patch targeted an inactive path	A temporary exact-ID printer trace showed both copies came from the older branch-result-only route	Both planned and older catch routes now declare the native channel as a separate output copy
2026-08-09T22:08:00-06:00	Kept oracle artifacts outside target output	The fixture created JS and Neko reference files inside the transaction-owned OCaml directory	After runtime-use reconciliation passed, artifact ownership correctly rejected stale oracle.js	The fixture uses a temporary oracle directory and leaves the OCaml tree authoritative
2026-08-09T22:10:00-06:00	Passed the String native tracer	Prove the final ledger on a real migrated runtime use, not only synthetic ASTs	Haxe build, Dune, native executable output, deterministic report, upstream Haxe 4.3.7 JS/Neko output, and generated-source checks passed	Final-tree reconciliation now survives one complete product path; broader guards remain
2026-08-09T22:18:00-06:00	Passed representative and repository guards	Check old plan families and prevent formatting, inventory, Dynamic, path, or mega-file regressions	Optional String function-value and exact Int native outputs matched; focused type-registry and repository guards passed	Inventory remains 388 and README readiness remains unchanged
2026-08-09T22:22:00-06:00	Completed xhigh second-pass review	The Bead requires an explicit challenge before closure	Reviewed request reset, plan/output cardinality, intentional copies, checked text, cache admission, packaging ownership, corruption sensitivity, and residual scope	No closure blocker; Oracle deliberately skipped because the seam was concrete and converged
