ts	phase	decision	why	evidence	result
2026-08-03T19:35:00Z	selection	selected the remaining exact-String instance-result blocker	all prior control children are closed, while haxe.Exception.details still recovers its early String through __fallback_result and Obj.magic	haxe_ocaml-w32h3; early_return lowering report; generated haxe_Exception.ml	confirmed unresolved
2026-08-03T19:37:00Z	scope	limited the slice to concrete non-generic normal instance methods with exact String results	the existing representation registry already proves String -> string; receiver, parameters, dispatch, and calls remain separate authorities	OcamlRepresentationRegistry; OcamlFunctionResultBoundary	bounded result-only seam
2026-08-03T19:39:00Z	tracking	created and claimed haxe_ocaml-w32h3.36 with thinking:xhigh	a wrong result proof could generate plausible but invalid native behavior	Bead haxe_ocaml-w32h3.36	in progress
2026-08-03T19:47:00Z	oracle	ran one base and one child String method through pinned Haxe 4.3.7 interpreter and Neko	expected virtual dispatch and early/tail return values must not come from the OCaml target under test	run-inheritance-override-oracle.sh	PASS routes=2 cases=6
2026-08-03T19:48:00Z	tdd	required three declaration-only String result records before implementation	the test must fail on the absent compiler decision rather than on runtime output or tool setup	inheritance_override/test.sh	RED expected 3 records got 0
2026-08-03T20:02:00Z	implementation	added a separate exact-String instance result proof using the existing String representation	the compiler can seal function completion without widening the exact-Int rule or deciding virtual calls	OcamlFunctionResultBoundary.hx; ReflaxeOcamlInspection.hx	Base.label Child.label and Exception.details admitted with no callable owner
2026-08-03T20:04:00Z	green	ran upstream routes native build public inspection and three corruption cases	runtime dispatch must agree while wrong source carrier and callable ownership fail closed	inheritance_override portable fixture	PASS routes=2 cases=6 results=3 corruptions=3
2026-08-03T20:13:00Z	goldens	regenerated six lowering reports twice under pipeline v73	the semantic pipeline identity changes derived decision IDs, so deterministic evidence must come from matching compiler runs	scripts/test-portable.sh	PASS fixtures=6
2026-08-03T20:20:00Z	focused-verification	ran call control public-inspection formatting typed-body mega-file and OCaml-ownership checks	the result proof must compose with existing lowering and leave handwritten runtime ownership unchanged	focused npm and guard commands	all checks passed
2026-08-03T20:31:00Z	portfolio-finding	updated the early-return inventory from 46 to 47 represented returns	the new Exception.details decision correctly changed the explicit evidence count; the old assertion caught the unreviewed inventory change	npm run test:portable; early_return/test.sh	first full run failed at fixture 12 on old count
2026-08-03T20:39:00Z	regression-fix	reran the complete early-return native and corruption fixture after reviewing the new decision	the public report count and human-readable evidence must name the added String return instead of silently accepting drift	early_return portable fixture	PASS controls=47 function_results=52
2026-08-03T20:47:00Z	full-portfolio	ran every portable fixture from the exact pushed implementation candidate	a result-boundary change must preserve generated OCaml builds, runtime behavior, callable precedence, nullable exclusions, storage, reflection, control transfers, and system runtime behavior	npm run test:portable at 7559e4837	PASS fixtures=101/101
2026-08-03T20:49:00Z	package-consumer	tested the packaged target through a fresh consumer install	the source checkout alone cannot prove that the published package surface contains the same working compiler and runtime assets	npm run test:reflaxe-ocaml:package-install	PASS archive=11a9e7c407c source=a30beb474ce4 executable=608c2e9dc96c
2026-08-03T20:50:00Z	second-pass	audited every retained lowering report for callable ownership and exact-String declaration invariants	xhigh closure needs an independent review pass that can find overlapping owners or an incorrectly widened carrier	35 reports 984 callable results 37 String rows 3 unique String functions	PASS conflicts=0; Oracle skipped because the bounded seam and complete executable evidence supplied a credible local closure
