ts	phase	decision	why	evidence	result
2026-07-24T07:50:33Z	diagnosis	Rejected further fixes in the handwritten OCaml parser	The cast token-loss reproducer showed that repairing the bridge would deepen a competing compiler frontend	packages/reflaxe.ocaml/std/runtime/HxHxNativeParser.ml; AGENTS.md	wrong-direction patch reverted
2026-07-24T07:50:33Z	ownership	Made HxParser the authoritative frontend and classified the OCaml lexer/parser as retirement-only	Parsing and dependency meaning are compiler semantics and must remain Haxe-authored	docs/00-project/BOOTSTRAP_BRIDGE_RETIREMENT.md; docs/00-project/BOOTSTRAP_BRIDGE_INVENTORY.json	hard-cut plan recorded under haxe_ocaml-e1kqo
2026-07-24T07:50:33Z	sequencing	Staged parser parity before deleting the native bridge	Forcing HxParser exposed a valid Haxe 4.3.7 typedef case that the Haxe parser did not yet consume safely	packages/hxhx-core/src/HxParser.hx; test/M14HihModuleTypeDeclarationSkipIntegrationTest.hx	bounded Haxe fix implemented
2026-07-24T07:50:34Z	validation	Probed HxParser against the Haxe 4.3.7 standard library	The hard cut needs corpus evidence rather than one repaired fixture	.tmp/PureHaxeParserCorpusProbe.hx	JS corpus 1000 of 1000 parsed; all-target corpus still has 146 failures
2026-07-24T07:50:34Z	guard	Froze the handwritten frontend bridge to its exact current files and readiness exclusion	Temporary semantic debt must not silently expand while parity and removal work proceed	scripts/ci/bridge-boundary-check.js; npm run guard:bridge-boundaries	bridge guard green
2026-07-24T08:07:20Z	rebuild	Validated the Haxe parser fix in a full current-source native compiler	A focused unit test alone could not prove the generated compiler used the repaired Haxe frontend correctly	packages/hxhx/out/_build/default/out.bc; .tmp/native-parser-hard-cut-fixture/out-current-source/main.js	stage0-free forced-HxParser JavaScript fixture emitted and ran with correct initialization order
2026-07-24T08:52:42Z	cutover-proof	Proved the existing pure-Haxe branch before deleting native enrichment	The force-HxParser switch still used native enrichment, so only a build with the native parser branch compiled out could establish the real boundary	HXHX_STAGE0_NO_NATIVE_PARSER=1 build; HXHX_BIN=packages/hxhx/out/_build/default/out.bc npm run test:hxhx-targets	source build and full target suite passed; suite elapsed 629 seconds
2026-07-24T09:14:29Z	hard-cut	Retire the handwritten OCaml frontend and use HxParser for every build	Two semantic parsers produced believable but different compiler output; the Haxe parser now passes the bounded native and upstream-shaped evidence needed for one-owner cutover	ParserStage now has one HxParser path; native externs/runtime modules/protocol/tests/build flags were removed; module-type regression and pre-cutover pure-parser target suite passed	Source hard cut complete; generated bootstrap regeneration and broad post-cutover gates remain
2026-07-24T10:13:58Z	implementation	Delete protocol-era expression rewriting	Exact Haxe source must not be repaired before lexing because valid identifiers can otherwise change meaning	HxParser uses raw input; helper/switches/tests deleted; newjs regression added	Focused parser, module, alias, and runtime-manifest tests pass
2026-07-24T10:45:42Z	second-pass	Accept the single Haxe-parser hard cut	Two-frontends risk is gone and raw-source parsing plus generated artifacts are now directly guarded	Full regenerated target suite, exact stage0-free build, bridge/runtime/bootstrap/format/shard/docs guards, raw-source generated calls	xhigh sufficient; Oracle skipped because the accepted architecture and bounded executable seam had decisive local evidence
2026-07-24T10:55:24Z	audit	Classify every handwritten non-generated OCaml production module	The parser incident showed that age and bootstrap origin do not justify a permanent second semantic implementation	docs/00-project/HANDWRITTEN_OCAML_OWNERSHIP.json; packages/reflaxe.ocaml/std/runtime/runtime-manifest.json	25 application runtime modules and 5 tooling adapters admitted; 3 Stage3 shims excluded; 2 test fixtures classified
2026-07-24T10:55:24Z	retirement	Delete the unused handwritten HxHxMacroRpc protocol client	The production macro host already uses Haxe-authored MacroHostClient, so keeping a second unused protocol implementation had no primitive or lifecycle justification	packages/hxhx/src/hxhx/macro/NativeMacroRpc.hx; packages/reflaxe.ocaml/std/runtime/HxHxMacroRpc.ml	legacy bridge and manifest/documentation rows removed
2026-07-24T10:55:24Z	guard	Make handwritten OCaml ownership exhaustive and fail closed	New .ml/.mli files, manifest bypasses, readiness inflation, placeholder runtime success, and retired modules must require an explicit architecture change	scripts/ci/handwritten-ocaml-ownership-check.js; scripts/ci/handwritten-ocaml-ownership-fixture-test.js	focused guard and negative fixtures pass
2026-07-24T11:00:08Z	second-pass	Accept the exhaustive ownership boundary and obsolete-RPC removal	The admitted adapters have Haxe decision owners and focused native tests; Stage3 semantic shims remain excluded with one hard-cut owner	ownership/bridge guards; runtime/ABI/socket fixtures; artifact/doctor/docs/shard/example/format guards	xhigh closure review passed; max and another Oracle review were unnecessary
